55	2023-06-02	0320-12	оформлення моделі	Н17.183.107.02	Кронштейн	0	0	0.00	4.00	50	0	110	65	1
56	2023-06-01	ПР0001	Нарада з питання ....	–	–	0	0	0.00	3.50	100	0	390	65	9
57	2023-06-01	0386-10	Вирішення питаня .... в цеху№...	–	–	0	0	0.00	1.50	100	0	390	65	3
58	2023-06-01	0320-12	оформлення креслення	Н17.190.107.02	Заглушка	8	1	4.00	2.50	50	0	10	65	1
59	2023-06-01	0320-12	оформлення креслення	Н17.183.107.02	Кронштейн	0	0	0.00	3.00	100	0	10	65	1
62	2023-06-12	0005-1891	пошук помилок	–	–	1	8	8.00	5.00	100	0	240	65	12
63	2023-06-11	0005-1891	пошук помилок	–	–	1	1	1.00	5.00	100	0	150	65	11
64	2023-06-11	ПР0003	пошук помилок	–	–	1	1	1.00	3.00	100	0	390	65	10
65	2023-06-10	ПР0005	пошук помилок	–	–	1	1	1.00	5.00	100	0	360	65	8
66	2023-06-10	0005-1891	пошук помилок	–	–	1	1	1.00	3.00	100	0	360	65	7
67	2023-06-09	ПР0005	пошук помилок	–	–	1	1	1.00	5.00	100	0	350	65	6
68	2023-06-09	0005-1891	пошук помилок	–	–	1	1	1.00	3.00	100	0	340	65	5
69	2023-06-08	ПР0002	пошук помилок	–	–	1	1	1.00	3.00	100	0	330	65	4
70	2023-06-08	0005-1891	пошук помилок	–	–	1	1	1.00	2.00	100	0	30	65	2
71	2023-06-13	0060-39	Оформленя креслення...	РН.23.263	Корпус	8	3	3.60	4.00	15	0	20	65	1
72	2023-05-31	0005-1891	підготовка листа	ОКГ-0034	Відповідь на запит	1	8	8.00	2.50	100	0	350	65	6
73	2023-06-14	ПР0005	оформлення креслення	–	–	0	0	0.00	4.50	100	0	90	65	12
74	2023-05-02	ПР0003	123	–	–	0	0	0.00	3.00	100	0	90	65	4
75	2023-06-19	786Д-135	оформление чертежа	РН.12-654-98-01	Кольцо	1	3	3.00	2.00	100	0	10	65	1
76	2023-06-19	0386-11	оформление чертежа	РН.12-654-98-00СБ	узел	4	3	9.00	6.00	75	0	20	65	1
77	2023-06-15	0386-11	оформление чертежа	РН.12-654-98-00СБ	узел	4	3	3.00	2.00	25	0	20	65	1
78	2023-06-13	ПР0002	ответ на запрос ...	–	–	1	1	1.00	0.50	100	0	350	65	6
79	2023-06-14	0047-660	Розробка креслення	РН.23.263	Втулка	2	3	6.00	5.00	100	0	20	65	1
82	2023-06-15	ПР0003	Підготовка ескізу	–	–	1	1	1.00	4.00	100	0	90	65	13
83	2023-06-20	0729-8	Підготовка ескізу	ГМ17.245	Корпус	1	1	1.00	1.00	100	0	90	65	13
84	2023-06-10	ПР0004	Розробка креслення	–	–	1	1	1.00	5.00	100	0	50	65	1
87	2023-06-28	0864-23	Проверка чертежа в статусе проверяющего	РН18.078.00.00 МЧ, РН18.078.00.00	–	4	4	16.00	0.50	100	0	390	44	11
88	2023-06-28	0864-23	Проверка чертежа в статусе проверяющего	РН18.078.10.00 СБ, РН18.078.10.00	–	4	4	16.00	0.50	100	0	390	44	11
89	2023-06-28	0864-23	Проверка чертежа в статусе проверяющего	РН18.079.00.00 МЧ, РН18.079.00.00	–	4	4	16.00	0.50	100	0	390	44	11
90	2023-06-28	0864-23	Проверка чертежа в статусе проверяющего	РН18.079.10.00 СБ, РН18.079.10.00	–	4	4	16.00	0.50	100	0	390	44	11
93	2023-06-28	0533-14	Розробка 3D моделі рами фундаментної	ГМ17.245.190.00-150 МД	Рама фундаментная	0	0	0.00	8.00	30	0	110	59	1
94	2023-06-29	0864-23	Перевірка повідомлення	НЭМ.56943, НЭМ.56943.2	Повідомлення	1	4	4.00	1.00	100	0	390	43	11
95	2023-06-29	0864-23	Узгодження	Карточка 372_23  заказ 864	Кольцо 690-85-2/51-1481	1	1	1.00	0.50	100	0	340	43	5
96	2023-06-29	0864-23	Корегування	РН18.079.00.00 МЧ, РН18.079.00.00	Агрегат электронасосрый	16	1	16.00	2.00	100	0	20	43	2
